nodes,block_size,la,rep,rpns,cholesky,n_cholesky,eigensolver,n_eigensolver,CP2K,total_energy
1,128,SLURM_CPUS_PER_TASK,1,4,30.183,1,1006.165,15,3098.271,-17616.95248067571811
2,128,SLURM_CPUS_PER_TASK,1,4,15.369,1,723.127,15,2151.694,-17616.95248067579087
4,128,SLURM_CPUS_PER_TASK,1,4,8.001,1,592.468,15,1556.960,-17616.95248067579087
8,128,SLURM_CPUS_PER_TASK,1,4,,,,,,
16,128,SLURM_CPUS_PER_TASK,1,4,3.233,1,537.748,15,1294.797,-17616.95248067580542
32,128,SLURM_CPUS_PER_TASK,1,4,3.079,1,1511.740,15,2464.463,-17616.95248067580542
1,128,SLURM_CPUS_PER_TASK - 1,1,4,45.931,1,964.178,15,2939.306,-17616.95248067571811
2,128,SLURM_CPUS_PER_TASK - 1,1,4,20.614,1,693.750,15,1921.239,-17616.95248067578359
4,128,SLURM_CPUS_PER_TASK - 1,1,4,16.531,1,532.931,15,1232.163,-17616.95248067578359
8,128,SLURM_CPUS_PER_TASK - 1,1,4,7.339,1,413.786,15,840.859,-17616.95248067582725
16,128,SLURM_CPUS_PER_TASK - 1,1,4,5.209,1,416.175,15,787.140,-17616.95248067581269
32,128,SLURM_CPUS_PER_TASK - 1,1,4,12.749,1,492.161,15,810.029,-17616.95248067580542
